Fatal,Country,Country
Y,AUSTRALIA,275
Y,USA,183
Y,SOUTH AFRICA,99
Y,PAPUA NEW GUINEA,54
Y,MEXICO,43
Y,BRAZIL,38
Y,PHILIPPINES,36
Y,REUNION,28
Y,CUBA,23
Y,NEW ZEALAND,23
Y,FIJI,22
Y,INDIA,21
Y,MOZAMBIQUE,19
Y,NEW CALEDONIA,18
Y,HONG KONG,17
Y,PANAMA,16
Y,CROATIA,15
Y,INDONESIA,14
Y,JAMAICA,14
Y,ITALY,13
Y,EGYPT,12
Y,JAPAN,12
Y,SOLOMON ISLANDS,12
Y,BAHAMAS,10
Y,GREECE,10
Y,IRAN,10
Y,ATLANTIC OCEAN,8
Y,COSTA RICA,8
Y,SPAIN,8
Y,VANUATU,8
Y,PACIFIC OCEAN,7
Y,YEMEN,7
Y,NEW GUINEA,6
Y,SOUTH KOREA,6
Y,TONGA,6
Y,CARIBBEAN SEA,5
Y,KENYA,5
Y,SIERRA LEONE,5
Y,TANZANIA,5
Y,BARBADOS,4
Y,CHILE,4
Y,DOMINICAN REPUBLIC,4
Y,ENGLAND,4
Y,MAURITIUS,4
Y,NEW BRITAIN,4
Y,NICARAGUA,4
Y,OKINAWA,4
Y,SEYCHELLES,4
Y,SINGAPORE,4
Y,SOMALIA,4
Y,SOUTH ATLANTIC OCEAN,4
Y,VENEZUELA,4
Y,AMERICAN SAMOA,3
Y,CANADA,3
Y,CEYLON,3
Y,CHINA,3
Y,FRANCE,3
Y,GRENADA,3
Y,HONDURAS,3
Y,INDIAN OCEAN,3
Y,KIRIBATI,3
Y,MADAGASCAR,3
Y,MALTA,3
Y,NIGERIA,3
Y,SENEGAL,3
Y,TAIWAN,3
Y,THAILAND,3
Y,TURKEY,3
Y,BURMA,2
Y,COLUMBIA,2
Y,EL SALVADOR,2
Y,FRENCH POLYNESIA,2
Y,GUINEA,2
Y,IRAQ,2
Y,LEBANON,2
Y,LIBERIA,2
Y,LIBYA,2
Y,MARSHALL ISLANDS,2
Y,MID ATLANTIC OCEAN,2
Y,NORTH PACIFIC OCEAN,2
Y,PORTUGAL,2
Y,SOUTH PACIFIC OCEAN,2
Y,SRI LANKA,2
Y,TURKS & CAICOS,2
Y,UNITED KINGDOM,2
Y,VIETNAM,2
Y,WEST INDIES,2
Y,AFRICA,1
Y,ALGERIA,1
Y,ANDAMAN / NICOBAR ISLANDAS,1
Y,ANDAMAN ISLANDS,1
Y,ARUBA,1
Y,BANGLADESH,1
Y,BAY OF BENGAL,1
Y,BERMUDA,1
Y,CAPE VERDE,1
Y,CENTRAL PACIFIC,1
Y,COOK ISLANDS,1
Y,CRETE,1
Y,CYPRUS,1
Y,DIEGO GARCIA,1
Y,EQUATORIAL GUINEA,1
Y,GABON,1
Y,GHANA,1
Y,GREENLAND,1
Y,GUAM,1
Y,GULF OF ADEN,1
Y,GUYANA,1
Y,HAITI,1
Y,INDIAN OCEAN?,1
Y,IRELAND,1
Y,JAVA,1
Y,MALDIVES,1
Y,MARTINIQUE,1
Y,MAYOTTE,1
Y,MONACO,1
Y,MONTENEGRO,1
Y,NAMIBIA,1
Y,PARAGUAY,1
Y,PERSIAN GULF,1
Y,PERU,1
Y,RED SEA / INDIAN OCEAN,1
Y,REUNION ISLAND,1
Y,SAMOA,1
Y,SAN DOMINGO,1
Y,SAO TOME ISLAND,1
Y,SOLOMON ISLANDS / VANUATU,1
Y,SOUTHWEST PACIFIC OCEAN,1
Y,SUDAN,1
Y,THE BALKANS,1
Y,TOBAGO,1
Y,TUNISIA,1
Y,TUVALU,1
Y,URUGUAY,1
Y,WESTERN SAMOA,1
